airFlightNum,eventTime,eventPriority,eventType
UA21204,15001,1,3
UA10637,16224,10,2
UA10637,16284,1,3
UA20075,24000,1,0
UA20278,24000,1,0
UA20352,24000,1,0
UA20655,24000,1,0
UA20732,24000,1,0
UA21030,24000,1,0
UA20237,24000,1,1
UA20240,24000,1,1
UA21061,24000,1,1
UA21077,24000,1,1
UA21102,24000,1,1
UA20278,24001,1,0
UA20141,24060,1,0
UA20613,24060,1,0
UA20765,24060,1,0
UA20834,24060,1,0
UA21183,24060,1,0
UA20075,24060,1,1
UA20352,24060,1,1
UA20655,24060,1,1
UA20732,24060,1,1
UA21030,24060,1,1
UA20278,24061,1,1
UA20406,24120,1,0
UA20690,24120,1,0
UA21178,24120,1,0
UA20141,24120,1,1
UA20613,24120,1,1
UA20765,24120,1,1
UA20834,24120,1,1
UA21183,24120,1,1
UA20040,24180,1,0
UA20753,24180,1,0
UA20801,24180,1,0
UA20817,24180,1,0
UA21138,24180,1,0
UA20406,24180,1,1
UA20690,24180,1,1
UA21178,24180,1,1
UA20466,24240,1,0
UA20588,24240,1,0
UA20906,24240,1,0
UA20040,24240,1,1
UA20753,24240,1,1
UA20801,24240,1,1
UA20817,24240,1,1
UA21138,24240,1,1
UA20352,633,1,2
UA20352,693,1,3
UA10136,2253,1,2
UA10276,2295,1,2
UA10136,2313,1,3
UA10276,2355,1,3
UA10725,2997,1,2
UA10725,3057,1,3
UA10963,3087,1,2
UA10963,3147,1,3
UA11392,3236,1,2
UA11392,3296,1,3
UA20040,3604,1,2
UA20040,3664,1,3
UA20732,3810,1,2
UA20732,3870,1,3
UA10188,3972,1,2
UA10188,4032,1,3
UA10329,4043,1,2
UA10329,4103,1,3
UA21183,4299,1,2
UA10250,4323,1,2
UA20753,4336,1,2
UA21183,4359,1,3
UA10250,4383,1,3
UA20753,4396,1,3
UA21138,5119,1,2
UA21138,5179,1,3
UA10684,6109,1,2
UA10684,6169,1,3
UA20655,6341,1,2
UA20655,6401,1,3
UA20834,6723,1,2
UA20834,6783,1,3
UA20801,9767,1,2
UA20801,9827,1,3
UA10464,9883,1,2
UA10464,9943,1,3
UA10650,11396,1,2
UA10650,11456,1,3
UA11243,12221,1,2
UA11243,12281,1,3
UA10096,12967,1,2
UA10096,13027,1,3
UA20690,13121,1,2
UA20690,13181,1,3
UA20406,13621,1,2
UA20406,13681,1,3
UA21030,15277,10,2
UA21030,15337,1,3
UA20478,24300,1,0
UA20508,24300,1,0
UA20547,24300,1,0
UA20466,24300,1,1
UA20588,24300,1,1
UA20906,24300,1,1
UA20895,24360,1,0
UA20955,24360,1,0
UA21226,24360,1,0
UA20478,24360,1,1
UA20508,24360,1,1
UA20547,24360,1,1
UA20350,24420,1,0
UA20947,24420,1,0
UA21237,24420,1,0
UA20895,24420,1,1
UA20955,24420,1,1
UA21226,24420,1,1
UA20044,24480,1,0
UA20350,24480,1,1
UA20947,24480,1,1
UA21237,24480,1,1
UA20056,24540,1,0
UA20387,24540,1,0
UA20044,24540,1,1
UA20044,1981,1,2
UA10657,1994,1,2
UA20044,2041,1,3
UA10657,2054,1,3
